system,variant,start_time_ps,final_tpr,final_xtc,start_id
fimA_WT,AtoD,23000.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s131
fimA_WT,AtoD,23100.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s132
fimA_WT,AtoD,23200.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s133
fimA_WT,AtoD,23300.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s134
fimA_WT,AtoD,23400.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s135
fimA_WT,AtoD,23500.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s136
fimA_WT,AtoD,23600.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s137
fimA_WT,AtoD,23700.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s138
fimA_WT,AtoD,23800.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s139
fimA_WT,AtoD,23900.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s140
fimA_WT,AtoD,24000.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s141
fimA_WT,AtoD,24100.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s142
fimA_WT,AtoD,24200.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s143
fimA_WT,AtoD,24300.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s144
fimA_WT,AtoD,24400.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s145
fimA_WT,AtoD,24500.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s146
fimA_WT,AtoD,24600.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s147
fimA_WT,AtoD,24700.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s148
fimA_WT,AtoD,24800.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s149
fimA_WT,AtoD,24900.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s150
fimA_WT,AtoD,25000.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s151
fimA_WT,AtoD,25100.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s152
fimA_WT,AtoD,25200.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s153
fimA_WT,AtoD,25300.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s154
fimA_WT,AtoD,25400.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s155
fimA_WT,AtoD,25500.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s156
fimA_WT,AtoD,25600.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s157
fimA_WT,AtoD,25700.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s158
fimA_WT,AtoD,25800.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s159
fimA_WT,AtoD,25900.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s160
fimA_WT,AtoD,26000.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s161
fimA_WT,AtoD,26100.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s162
fimA_WT,AtoD,26200.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s163
fimA_WT,AtoD,26300.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s164
fimA_WT,AtoD,26400.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s165
fimA_WT,AtoD,26500.0,systems/fimA_WT/00_build/npt_final.tpr,systems/fimA_WT/00_build/npt_final.xtc,s166
